"Date","Simple Date","Outdoor h Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Yearly Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Absolute Pressure (inHg)","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (mph)"
2023-02-08T23:55:00-05:00,2023-02-08 23:55:00,55.8,0,0,8.1,328,0,0,0,0,1.12,67.03,29.11,90,0,0,29.11,328,0
2023-02-08T23:50:00-05:00,2023-02-08 23:50:00,55.4,0,0,8.1,330,0,0,0,0,1.12,67.03,29.11,90,0,0,29.11,323,0
2023-02-08T23:45:00-05:00,2023-02-08 23:45:00,55.6,0,1.1,8.1,333,0,0,0,0,1.12,67.03,29.11,90,0,0,29.11,325,0
2023-02-08T23:40:00-05:00,2023-02-08 23:40:00,54.7,0,0,8.1,321,0,0,0,0,1.12,67.03,29.11,92,0,0,29.11,322,0
2023-02-08T23:35:00-05:00,2023-02-08 23:35:00,54.7,0,0,8.1,325,0,0,0,0,1.12,67.03,29.11,93,0,0,29.11,330,0
2023-02-08T23:30:00-05:00,2023-02-08 23:30:00,54.7,0,0,8.1,326,0,0,0,0,1.12,67.03,29.11,92,0,0,29.11,329,0
2023-02-08T23:25:00-05:00,2023-02-08 23:25:00,54.9,0,0,8.1,329,0,0,0,0,1.12,67.03,29.11,92,0,0,29.11,330,0
2023-02-08T23:20:00-05:00,2023-02-08 23:20:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.12,92,0,0,29.12,329,0
2023-02-08T23:15:00-05:00,2023-02-08 23:15:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.11,92,0,0,29.11,331,0
2023-02-08T23:10:00-05:00,2023-02-08 23:10:00,55,0,0,8.1,328,0,0,0,0,1.12,67.03,29.12,92,0,0,29.12,328,0
2023-02-08T23:05:00-05:00,2023-02-08 23:05:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.12,92,0,0,29.12,330,0
2023-02-08T23:00:00-05:00,2023-02-08 23:00:00,54.9,0,0,8.1,332,0,0,0,0,1.12,67.03,29.12,92,0,0,29.12,330,0
2023-02-08T22:55:00-05:00,2023-02-08 22:55:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.13,92,0,0,29.13,331,0
2023-02-08T22:50:00-05:00,2023-02-08 22:50:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.12,92,0,0,29.12,329,0
2023-02-08T22:45:00-05:00,2023-02-08 22:45:00,55,0,0,8.1,330,0,0,0,0,1.12,67.03,29.13,92,0,0,29.13,328,0
2023-02-08T22:40:00-05:00,2023-02-08 22:40:00,55,0,0,8.1,319,0,0,0,0,1.12,67.03,29.14,92,0,0,29.14,326,0
2023-02-08T22:35:00-05:00,2023-02-08 22:35:00,55.2,0,0,8.1,328,0,0,0,0,1.12,67.03,29.14,91,0,0,29.14,328,0
